,0,1,2,3,4,5
0,1.0,19.083333333333332,2022.0,6.0,30.0,77.5
1,1.0,19.0,2022.0,6.0,30.0,78.1
2,1.0,18.916666666666668,2022.0,6.0,30.0,77.9
3,1.0,18.833333333333332,2022.0,6.0,30.0,77.5
4,1.0,18.75,2022.0,6.0,30.0,77.5
5,1.0,18.666666666666668,2022.0,6.0,30.0,78.1
6,1.0,18.583333333333332,2022.0,6.0,30.0,78.4
7,1.0,18.5,2022.0,6.0,30.0,79.0
8,1.0,18.416666666666668,2022.0,6.0,30.0,79.0
9,1.0,18.333333333333332,2022.0,6.0,30.0,78.6
10,1.0,18.25,2022.0,6.0,30.0,79.7
11,1.0,18.166666666666668,2022.0,6.0,30.0,79.7
12,1.0,18.083333333333332,2022.0,6.0,30.0,79.5
13,1.0,18.0,2022.0,6.0,30.0,79.3
14,1.0,17.916666666666668,2022.0,6.0,30.0,79.2
15,1.0,17.833333333333332,2022.0,6.0,30.0,78.6
16,1.0,17.75,2022.0,6.0,30.0,79.0
17,1.0,17.666666666666668,2022.0,6.0,30.0,79.3
18,1.0,17.583333333333332,2022.0,6.0,30.0,79.2
19,1.0,17.5,2022.0,6.0,30.0,79.2
20,1.0,17.416666666666668,2022.0,6.0,30.0,79.3
21,1.0,17.333333333333332,2022.0,6.0,30.0,79.5
22,1.0,17.25,2022.0,6.0,30.0,79.9
23,1.0,17.166666666666668,2022.0,6.0,30.0,79.0
24,1.0,17.083333333333332,2022.0,6.0,30.0,79.5
25,1.0,17.0,2022.0,6.0,30.0,79.2
26,1.0,16.916666666666668,2022.0,6.0,30.0,77.4
27,1.0,16.833333333333332,2022.0,6.0,30.0,76.1
28,1.0,16.75,2022.0,6.0,30.0,75.9
29,1.0,16.666666666666668,2022.0,6.0,30.0,76.3
30,1.0,16.583333333333332,2022.0,6.0,30.0,76.1
31,1.0,16.5,2022.0,6.0,30.0,75.6
32,1.0,16.416666666666668,2022.0,6.0,30.0,75.4
33,1.0,16.333333333333332,2022.0,6.0,30.0,75.4
34,1.0,16.25,2022.0,6.0,30.0,74.8
35,1.0,16.166666666666668,2022.0,6.0,30.0,74.5
36,1.0,16.083333333333332,2022.0,6.0,30.0,74.1
37,1.0,16.0,2022.0,6.0,30.0,74.3
38,1.0,15.916666666666666,2022.0,6.0,30.0,73.8
39,1.0,15.833333333333334,2022.0,6.0,30.0,73.8
40,1.0,15.75,2022.0,6.0,30.0,73.6
41,1.0,15.666666666666666,2022.0,6.0,30.0,72.7
42,1.0,15.583333333333334,2022.0,6.0,30.0,73.0
43,1.0,15.5,2022.0,6.0,30.0,72.3
44,1.0,15.416666666666666,2022.0,6.0,30.0,72.5
45,1.0,15.333333333333334,2022.0,6.0,30.0,73.6
46,1.0,15.25,2022.0,6.0,30.0,72.9
47,1.0,15.166666666666666,2022.0,6.0,30.0,73.0
48,1.0,15.083333333333334,2022.0,6.0,30.0,72.7
49,1.0,15.0,2022.0,6.0,30.0,72.9
50,1.0,14.916666666666666,2022.0,6.0,30.0,72.3
51,1.0,14.833333333333334,2022.0,6.0,30.0,72.3
52,1.0,14.75,2022.0,6.0,30.0,72.1
53,1.0,14.666666666666666,2022.0,6.0,30.0,72.1
54,1.0,14.583333333333334,2022.0,6.0,30.0,72.1
55,1.0,14.5,2022.0,6.0,30.0,73.2
56,1.0,14.416666666666666,2022.0,6.0,30.0,71.8
57,1.0,14.333333333333334,2022.0,6.0,30.0,73.4
58,1.0,14.25,2022.0,6.0,30.0,74.8
59,1.0,14.166666666666666,2022.0,6.0,30.0,74.5
60,1.0,14.083333333333334,2022.0,6.0,30.0,74.8
61,1.0,14.0,2022.0,6.0,30.0,74.8
62,1.0,13.916666666666666,2022.0,6.0,30.0,75.4
63,1.0,13.833333333333334,2022.0,6.0,30.0,74.8
