,0
532,348.3
533,342.2
534,354.4
535,572.2
536,337.4
537,316.6
538,192.6
539,157.4
540,190.8
541,268.0
542,349.1
543,408.6
544,383.0
545,269.4
546,200.4
547,307.9
548,595.2
549,804.2
550,421.2
551,613.4
552,585.1
553,391.2
554,534.0
555,509.6
556,479.7
557,534.4
558,561.3
559,318.3
560,509.6
561,799.5
562,711.0
563,573.0
564,589.9
565,486.6
566,456.3
567,390.4
568,386.9
569,528.4
570,597.3
571,721.8
572,618.2
573,639.3
574,604.7
575,708.3
576,613.8
577,588.7
578,561.8
579,560.9
580,554.3
581,560.4
582,590.8
583,637.6
584,653.6
585,645.1
586,649.4
587,683.6
588,674.1
589,639.8
590,607.8
591,587.3
592,603.0
593,590.4
594,571.3
595,516.1
596,537.4
597,529.6
598,471.5
599,437.2
600,467.2
601,479.3
602,449.8
603,388.2
604,376.9
605,351.7
606,344.4
607,320.5
608,328.4
609,297.1
610,269.8
611,248.1
612,232.9
613,219.8
614,196.8
615,181.7
616,167.8
617,144.4
618,128.0
619,111.4
620,79.8
621,71.6
622,65.0
623,58.5
624,51.5
625,45.0
626,39.9
627,34.3
628,27.6
629,22.5
630,18.6
631,12.1
632,7.7
633,3.8
634,1.7
635,0.4
636,0.8
637,3.4
638,6.0
639,9.5
640,13.0
641,16.0
642,18.6
643,22.0
644,28.1
645,35.5
646,39.9
647,42.0
648,49.4
649,68.5
650,93.6
651,127.1
652,143.5
653,163.9
654,196.0
655,190.4
656,233.8
657,257.1
658,257.6
659,199.9
660,160.5
661,153.5
662,144.4
663,144.4
664,130.5
665,97.5
666,73.3
667,69.4
668,64.6
669,65.0
670,64.1
671,59.0
672,62.0
673,48.6
674,33.4
675,32.4
676,24.2
677,29.0
678,44.2
679,86.7
680,91.9
681,153.0
682,186.1
683,355.6
684,204.3
685,171.3
686,296.2
687,212.5
688,230.7
689,517.5
690,368.2
691,739.6
692,719.6
693,665.9
694,594.7
695,607.3
696,416.4
697,258.5
698,798.6
699,743.6
700,599.5
701,347.4
702,185.2
703,153.5
704,142.3
705,232.9
706,198.7
707,402.5
708,225.1
709,817.7
710,815.5
711,781.7
712,797.8
713,208.6
714,107.0
715,116.2
716,116.6
717,103.1
718,123.2
719,142.3
720,146.2
721,231.6
722,197.8
723,622.1
724,344.0
725,851.1
726,820.8
727,213.0
728,268.5
729,306.7
730,833.4
731,904.9
732,453.3
733,843.8
734,811.2
735,227.7
736,797.3
737,596.9
738,775.1
739,211.2
740,767.4
741,761.3
742,448.1
743,278.9
744,780.8
745,688.9
746,671.0
747,697.1
748,613.4
749,645.1
750,611.2
751,630.8
752,725.7
753,755.2
754,422.1
755,711.9
756,313.5
757,290.2
758,228.2
759,343.5
760,229.4
761,194.3
762,435.5
763,394.7
764,386.1
765,357.0
766,351.4
767,298.0
768,318.8
769,336.2
770,296.7
771,116.2
772,248.5
773,230.2
774,212.5
775,187.8
776,166.5
777,150.0
778,128.0
779,98.0
780,82.0
781,73.7
782,66.8
783,60.7
784,54.2
785,48.1
786,42.0
787,36.8
788,30.7
789,24.7
790,18.6
791,13.3
792,9.5
793,5.1
794,2.6
795,1.2
796,10.8
797,14.7
798,13.3
799,10.8
800,13.3
801,14.3
802,16.4
803,20.8
804,36.3
805,59.0
806,63.7
807,61.5
808,77.6
809,94.1
810,84.5
811,77.2
812,50.3
813,34.6
814,41.1
815,94.6
816,55.9
817,36.3
818,17.3
819,13.3
820,28.6
821,46.7
822,46.4
823,82.3
824,165.6
825,164.8
826,196.0
827,252.4
828,317.1
829,259.4
830,195.6
831,190.4
832,631.6
833,674.9
834,678.5
835,238.9
836,189.1
837,215.6
838,234.6
839,547.5
840,585.6
841,672.4
842,373.5
843,237.7
844,215.1
845,165.3
846,224.6
847,236.0
848,319.7
849,302.8
850,640.3
851,266.7
852,318.8
853,336.2
854,402.1
855,281.0
856,417.7
857,407.7
858,949.1
859,923.5
860,412.0
861,407.7
862,370.4
863,337.0
864,293.6
865,436.4
866,344.4
867,375.2
868,822.5
869,740.9
870,705.3
871,739.6
872,190.0
873,191.2
874,763.5
875,364.3
876,354.4
877,673.2
878,908.8
879,152.7
880,71.6
881,52.5
882,50.6
883,103.1
884,132.2
885,290.5
886,183.9
887,854.1
888,258.5
889,220.3
890,194.8
891,880.2
892,857.2
893,862.0
894,247.6
895,776.5
896,774.3
897,710.5
898,765.6
899,727.9
900,490.6
901,417.7
902,337.0
903,418.1
904,731.3
905,686.7
906,586.8
907,737.8
908,483.6
909,518.3
910,449.3
911,588.7
912,587.7
913,323.1
914,253.2
915,240.3
916,373.5
917,699.6
918,272.3
919,255.1
920,173.8
921,185.2
922,468.4
923,209.1
924,341.8
925,284.9
926,146.6
927,365.2
928,311.5
929,272.3
930,265.8
931,248.5
932,209.4
933,191.7
934,168.2
935,149.6
936,124.4
937,107.9
938,73.3
939,55.4
940,49.4
941,45.0
942,41.1
943,36.8
944,32.9
945,29.0
946,25.6
947,21.2
948,18.1
949,13.8
950,10.4
951,6.0
952,2.9
953,0.8
954,0.4
955,0.8
956,2.1
957,4.3
958,5.1
959,7.3
960,4.8
961,4.3
962,7.7
963,16.0
964,18.6
965,17.7
966,23.9
967,44.6
968,45.0
969,63.7
970,82.0
971,83.7
972,73.7
973,56.8
974,46.7
975,66.8
976,106.7
977,129.2
978,107.5
979,135.3
980,126.6
981,119.3
982,125.8
983,107.5
984,98.4
985,85.4
986,74.5
987,53.7
988,37.7
989,46.7
990,46.7
991,47.7
992,49.4
993,74.5
994,97.1
995,96.3
996,117.4
997,118.8
998,148.3
999,147.9
1000,133.6
1001,100.2
1002,95.4
1003,114.9
1004,239.4
1005,302.3
1006,329.2
1007,284.1
1008,610.3
1009,646.8
1010,467.2
1011,418.5
1012,297.1
1013,431.1
1014,419.0
1015,412.0
1016,431.1
1017,412.9
1018,376.6
1019,219.0
1020,212.1
1021,265.0
1022,393.8
1023,294.5
1024,319.7
1025,767.8
1026,357.3
1027,258.5
1028,251.5
1029,434.2
1030,246.4
1031,281.5
1032,275.9
1033,290.5
1034,353.6
1035,549.5
1036,452.4
1037,200.4
1038,238.6
1039,242.0
1040,844.1
1041,291.4
1042,271.9
1043,304.0
1044,193.1
1045,197.8
1046,184.4
1047,168.7
1048,193.9
1049,405.2
1050,268.9
1051,562.6
1052,333.5
1053,223.4
1054,247.6
1055,189.5
1056,168.2
1057,170.4
1058,213.0
1059,691.9
1060,720.9
1061,248.9
1062,801.2
1063,734.4
1064,679.7
1065,770.0
1066,717.9
1067,645.9
1068,615.1
1069,612.5
1070,611.7
1071,604.7
1072,550.9
1073,533.1
1074,555.3
1075,483.6
1076,461.9
1077,461.1
1078,481.0
1079,493.1
1080,465.9
1081,403.0
1082,380.8
1083,360.4
1084,352.2
1085,340.9
1086,294.5
1087,339.6
1088,150.5
1089,183.0
1090,136.2
1091,141.4
1092,122.3
1093,95.4
1094,133.9
1095,154.4
1096,99.3
1097,69.4
1098,60.2
1099,71.9
1100,55.4
1101,48.9
1102,41.1
1103,39.0
1104,42.0
1105,39.0
1106,32.0
1107,25.6
1108,19.4
1109,13.8
1110,9.5
1111,5.1
1112,2.1
1113,0.4
1114,1.2
1115,5.1
1116,10.8
1117,12.1
1118,13.0
1119,13.3
1120,18.6
1121,25.6
1122,19.9
1123,19.4
1124,30.7
1125,45.5
1126,47.2
1127,76.7
1128,75.0
1129,95.8
1130,107.5
1131,77.6
1132,65.5
1133,86.7
1134,76.3
1135,136.7
1136,238.1
1137,266.3
1138,115.4
1139,141.8
1140,190.0
1141,353.9
1142,190.8
1143,416.4
1144,176.9
1145,472.3
1146,501.8
1147,246.4
1148,196.5
1149,247.6
1150,226.8
1151,215.6
1152,265.8
1153,300.9
1154,311.0
1155,314.0
1156,474.1
1157,346.6
1158,446.8
1159,444.2
1160,360.4
1161,302.8
1162,684.5
1163,259.8
1164,291.4
1165,727.9
1166,299.2
1167,744.8
1168,249.4
1169,253.7
1170,279.3
1171,612.9
1172,737.8
1173,479.7
1174,679.7
1175,779.5
1176,746.5
1177,729.6
1178,733.0
1179,749.2
1180,704.9
1181,684.5
1182,695.4
1183,727.0
1184,236.8
1185,796.9
1186,285.4
1187,382.5
1188,323.1
1189,259.0
1190,679.3
1191,241.6
1192,224.6
1193,212.5
1194,891.8
1195,590.8
1196,951.8
1197,856.7
1198,285.4
1199,294.1
1200,196.0
1201,167.0
1202,181.7
1203,213.3
1204,345.7
1205,272.8
1206,245.0
1207,210.3
1208,182.5
1209,319.2
1210,229.9
1211,169.6
1212,186.4
1213,764.4
1214,727.9
1215,701.0
1216,688.0
1217,688.4
1218,687.2
1219,668.5
1220,628.1
1221,642.4
1222,688.0
1223,640.3
1224,645.1
1225,678.5
1226,690.1
1227,651.9
1228,609.8
1229,598.6
1230,615.1
1231,605.6
1232,589.5
1233,522.3
1234,560.1
1235,505.4
1236,479.7
1237,450.7
1238,494.5
1239,487.1
1240,432.4
1241,396.0
1242,389.0
1243,362.1
1244,340.5
1245,327.9
1246,331.4
1247,307.1
1248,284.9
1249,261.9
1250,242.5
1251,234.2
1252,212.5
1253,190.8
1254,168.7
1255,144.4
1256,139.2
1257,92.4
1258,75.0
1259,67.7
1260,61.2
1261,52.9
1262,42.9
1263,36.3
1264,31.2
1265,27.3
1266,23.4
1267,19.1
1268,14.3
1269,9.1
1270,5.1
1271,2.9
1272,1.2
1273,1.7
1274,3.8
1275,5.1
1276,5.6
1277,7.7
1278,6.8
1279,6.5
1280,9.5
1281,14.7
1282,19.4
1283,35.5
1284,35.1
1285,27.6
1286,34.3
1287,32.4
1288,32.0
1289,22.9
1290,19.9
1291,13.8
1292,15.2
1293,38.5
1294,63.2
1295,59.8
1296,72.8
1297,130.5
1298,312.7
1299,319.2
1300,207.7
1301,196.0
1302,226.8
1303,445.4
1304,384.3
1305,268.0
1306,291.4
1307,265.5
1308,206.9
1309,312.7
1310,494.5
1311,273.7
1312,319.7
1313,257.1
1314,491.1
1315,306.7
1316,293.2
1317,665.4
1318,277.1
1319,252.9
1320,250.3
1321,511.9
1322,489.3
1323,586.0
1324,586.8
1325,585.1
1326,597.7
1327,585.1
1328,567.4
1329,548.3
1330,627.7
1331,695.4
1332,689.2
1333,697.6
1334,688.9
1335,708.3
1336,682.8
1337,648.5
1338,626.0
1339,622.1
1340,644.6
1341,699.6
1342,743.1
1343,760.4
1344,738.8
1345,721.4
1346,786.0
1347,920.5
1348,830.7
1349,625.5
1350,297.5
1351,921.0
1352,327.0
1353,179.1
1354,206.0
1355,213.0
1356,269.4
1357,278.4
1358,202.6
1359,264.6
1360,568.6
1361,544.8
1362,839.0
1363,747.0
1364,755.2
1365,803.8
1366,776.5
1367,758.7
1368,746.5
1369,724.8
1370,689.2
1371,677.1
1372,456.8
1373,712.2
1374,692.3
1375,628.1
1376,643.7
1377,681.0
1378,687.2
1379,636.4
1380,654.6
1381,662.3
1382,697.9
1383,638.5
1384,607.8
1385,609.5
1386,625.0
1387,605.9
1388,550.0
1389,534.4
1390,569.1
1391,520.9
